"al","censurën e internetit.","faqen e internetit të mbyllura.","informacion nuk është në dispozicion."
"et","الرقابة على الانترنت.","أغلقت الموقع.","لا تتوفر معلومات."
"ae","الرقابة على الانترنت.","أغلقت الموقع.","لا تتوفر معلومات."
"bh","الرقابة على الانترنت.","أغلقت الموقع.","لا تتوفر معلومات."
"dz","الرقابة على الانترنت.","أغلقت الموقع.","لا تتوفر معلومات."
"eg","الرقابة على الانترنت.","أغلقت الموقع.","لا تتوفر معلومات."
"iq","الرقابة على الانترنت.","أغلقت الموقع.","لا تتوفر معلومات."
"jo","الرقابة على الانترنت.","أغلقت الموقع.","لا تتوفر معلومات."
"km","الرقابة على الانترنت.","أغلقت الموقع.","لا تتوفر معلومات."
"kw","الرقابة على الانترنت.","أغلقت الموقع.","لا تتوفر معلومات."
"lb","الرقابة على الانترنت.","أغلقت الموقع.","لا تتوفر معلومات."
"ma","الرقابة على الانترنت.","أغلقت الموقع.","لا تتوفر معلومات."
"mr","الرقابة على الانترنت.","أغلقت الموقع.","لا تتوفر معلومات."
"om","الرقابة على الانترنت.","أغلقت الموقع.","لا تتوفر معلومات."
"qa","الرقابة على الانترنت.","أغلقت الموقع.","لا تتوفر معلومات."
"sa","الرقابة على الانترنت.","أغلقت الموقع.","لا تتوفر معلومات."
"sd","الرقابة على الانترنت.","أغلقت الموقع.","لا تتوفر معلومات."
"am","Ինտերնետ գրաքննություն.","կայք փակ.","տեղեկատվությունը մատչելի չէ:"
"az","internet senzura.","web bağlıdır.","mövcud deyil məlumatlar."
"by","Інтэрнэт цэнзура.","сайт зачынены.","інфармацыя не даступная."
"bd","ইন্টারনেট সেন্সরশীপ.","ওয়েবসাইট বন্ধ.","তথ্য না পাওয়া."
"bg","Интернет цензура.","уебсайт затворен.","информация не е налична."
"ad","la censura d'Internet.","lloc tancat.","Informació no disponible."
"hk","互联网审查。","网站关闭。","不可用的信息。"
"hr","Internet cenzura.","web zatvorena.","informacije nisu dostupne."
"cz","Cenzura internetu.","stránky zavřená.","informace nejsou k dispozici."
"dk","censur af internettet.","hjemmeside lukket.","oplysninger ikke er tilgængelige."
"aw","Internet censuur.","website gesloten.","informatie niet beschikbaar."
"be","Internet censuur.","website gesloten.","informatie niet beschikbaar."
"nl","Internet censuur.","website gesloten.","informatie niet beschikbaar."
"ag","internet censorship.","website closed.","information not available."
"ai","internet censorship.","website closed.","information not available."
"au","internet censorship.","website closed.","information not available."
"bb","internet censorship.","website closed.","information not available."
"bm","internet censorship.","website closed.","information not available."
"bs","internet censorship.","website closed.","information not available."
"bz","internet censorship.","website closed.","information not available."
"ca","internet censorship.","website closed.","information not available."
"ck","internet censorship.","website closed.","information not available."
"cx","internet censorship.","website closed.","information not available."
"dm","internet censorship.","website closed.","information not available."
"fj","internet censorship.","website closed.","information not available."
"fm","internet censorship.","website closed.","information not available."
"gb","internet censorship.","website closed.","information not available."
"gd","internet censorship.","website closed.","information not available."
"gg","internet censorship.","website closed.","information not available."
"gh","internet censorship.","website closed.","information not available."
"gi","internet censorship.","website closed.","information not available."
"gm","internet censorship.","website closed.","information not available."
"gu","internet censorship.","website closed.","information not available."
"gy","internet censorship.","website closed.","information not available."
"ie","internet censorship.","website closed.","information not available."
"im","internet censorship.","website closed.","information not available."
"je","internet censorship.","website closed.","information not available."
"jm","internet censorship.","website closed.","information not available."
"ke","internet censorship.","website closed.","information not available."
"kn","internet censorship.","website closed.","information not available."
"ky","internet censorship.","website closed.","information not available."
"lc","internet censorship.","website closed.","information not available."
"lr","internet censorship.","website closed.","information not available."
"ms","internet censorship.","website closed.","information not available."
"nf","internet censorship.","website closed.","information not available."
"ng","internet censorship.","website closed.","information not available."
"nz","internet censorship.","website closed.","information not available."
"ee","Interneti tsensuuri.","veebileht suletud.","andmed ei ole kättesaadavad."
"fo","internet censorship.","website closed.","information not available."
"fi","Internetin sensurointia.","sivusto suljettu.","tietoja ei ole saatavilla."
"bf","censure sur Internet.","site fermé.","information non disponible."
"bj","censure sur Internet.","site fermé.","information non disponible."
"cf","censure sur Internet.","site fermé.","information non disponible."
"ci","censure sur Internet.","site fermé.","information non disponible."
"dj","censure sur Internet.","site fermé.","information non disponible."
"fr","censure sur Internet.","site fermé.","information non disponible."
"ga","censure sur Internet.","site fermé.","information non disponible."
"gf","censure sur Internet.","site fermé.","information non disponible."
"gn","censure sur Internet.","site fermé.","information non disponible."
"gp","censure sur Internet.","site fermé.","information non disponible."
"ht","censure sur Internet.","site fermé.","information non disponible."
"mc","censure sur Internet.","site fermé.","information non disponible."
"mg","censure sur Internet.","site fermé.","information non disponible."
"ml","censure sur Internet.","site fermé.","information non disponible."
"mq","censure sur Internet.","site fermé.","information non disponible."
"nc","censure sur Internet.","site fermé.","information non disponible."
"ne","censure sur Internet.","site fermé.","information non disponible."
"pf","censure sur Internet.","site fermé.","information non disponible."
"pm","censure sur Internet.","site fermé.","information non disponible."
"re","censure sur Internet.","site fermé.","information non disponible."
"ge","ინტერნეტ ცენზურა.","ნახვა დახურულია.","ინფორმაცია არ არის შესაძლებელი."
"at","Internet-Zensur.","Website geschlossen.","Informationen nicht zur Verfügung."
"ch","Internet-Zensur.","Website geschlossen.","Informationen nicht zur Verfügung."
"de","Internet-Zensur.","Website geschlossen.","Informationen nicht zur Verfügung."
"li","Internet-Zensur.","Website geschlossen.","Informationen nicht zur Verfügung."
"cy","λογοκρισίας στο διαδίκτυο.","ιστοσελίδα κλειστό.","πληροφορίες δεν είναι διαθέσιμες."
"gr","λογοκρισίας στο διαδίκτυο.","ιστοσελίδα κλειστό.","πληροφορίες δεν είναι διαθέσιμες."
"il","צנזורה באינטרנט.","האתר סגור.","המידע אינו זמין."
"in","इंटरनेट सेंसरशिप.","वेबसाइट बंद कर दिया.","जानकारी उपलब्ध नहीं है."
"hu","internet cenzúra.","website zárva.","információk nem állnak rendelkezésre."
"is","Internet ritskoðun.","vefsvæði lokað.","upplýsingar liggja ekki fyrir."
"it","Censura internet.","sito chiuso.","informazioni non disponibili."
"jp","インターネット検閲。","ウェブサイトは閉鎖。","入手できない情報。"
"kz","internet censorship.","website closed.","information not available."
"kh","internet censorship.","website closed.","information not available."
"kg","internet censorship.","website closed.","information not available."
"lv","interneta cenzūru.","mājas slēgts.","informācija nav pieejama."
"lt","interneto cenzūros.","svetainėje uždarytas.","informacijos nėra."
"lu","internet censorship.","website closed.","information not available."
"mt","ċensura-internet.","websajt magħluqa.","mhux disponibbli informazzjoni."
"np","internet censorship.","website closed.","information not available."
"no","Internett-sensur.","nettsted stengt.","informasjonen ikke er tilgjengelig."
"pl","cenzurę w Internecie.","stronie internetowej zamknięte.","informacje nie są dostępne."
"ao","censura na internet.","site fechado.","informação não disponível."
"br","censura na internet.","site fechado.","informação não disponível."
"cv","censura na internet.","site fechado.","informação não disponível."
"gw","censura na internet.","site fechado.","informação não disponível."
"pt","censura na internet.","site fechado.","informação não disponível."
"pk","internet censorship.","website closed.","information not available."
"ro","internet cenzura.","site-ul închis.","nu sunt disponibile informaţii."
"me","Интернет цензура.","сајт затворена.","информације нису доступне."
"rs","Интернет цензура.","сајт затворена.","информације нису доступне."
"ar","la censura de Internet.","sitio cerrado.","Información no disponible."
"cl","la censura de Internet.","sitio cerrado.","Información no disponible."
"co","la censura de Internet.","sitio cerrado.","Información no disponible."
"cr","la censura de Internet.","sitio cerrado.","Información no disponible."
"cu","la censura de Internet.","sitio cerrado.","Información no disponible."
"do","la censura de Internet.","sitio cerrado.","Información no disponible."
"ec","la censura de Internet.","sitio cerrado.","Información no disponible."
"gq","la censura de Internet.","sitio cerrado.","Información no disponible."
"gt","la censura de Internet.","sitio cerrado.","Información no disponible."
"hn","la censura de Internet.","sitio cerrado.","Información no disponible."
"mx","la censura de Internet.","sitio cerrado.","Información no disponible."
"ni","la censura de Internet.","sitio cerrado.","Información no disponible."
"pa","la censura de Internet.","sitio cerrado.","Información no disponible."
"pe","la censura de Internet.","sitio cerrado.","Información no disponible."
"pr","la censura de Internet.","sitio cerrado.","Información no disponible."
"py","la censura de Internet.","sitio cerrado.","Información no disponible."
"se","Internet censur.","hemsidan stängd.","informationen inte finns tillgänglig."
"ph","internet censorship.","website closed.","information not available."
"tn","الرقابة على الانترنت.","أغلقت الموقع.","لا تتوفر معلومات."
"ye","الرقابة على الانترنت.","أغلقت الموقع.","لا تتوفر معلومات."
"sr","Internet censuur.","website gesloten.","informatie niet beschikbaar."
"sl","internet censorship.","website closed.","information not available."
"sz","internet censorship.","website closed.","information not available."
"tc","internet censorship.","website closed.","information not available."
"tt","internet censorship.","website closed.","information not available."
"ug","internet censorship.","website closed.","information not available."
"us","internet censorship.","website closed.","information not available."
"vc","internet censorship.","website closed.","information not available."
"zm","internet censorship.","website closed.","information not available."
"zw","internet censorship.","website closed.","information not available."
"sn","censure sur Internet.","site fermé.","information non disponible."
"td","censure sur Internet.","site fermé.","information non disponible."
"tg","censure sur Internet.","site fermé.","information non disponible."
"sm","Censura internet.","sito chiuso.","informazioni non disponibili."
"st","censura na internet.","site fechado.","informação não disponível."
"sk","cenzúra internetu.","stránky zatvorená.","informácie nie sú k dispozícii."
"si","internetne cenzure.","spletna stran zaprta.","informacije niso na voljo."
"sv","la censura de Internet.","sitio cerrado.","Información no disponible."
"uy","la censura de Internet.","sitio cerrado.","Información no disponible."
"tj","internet censorship.","website closed.","information not available."
"th","การเซ็นเซอร์อินเทอร์เน็ต","ปิดเว็บไซต์","ข้อมูลไม่สามารถใช้ได้"
"tr","İnternet sansürü.","web sitesi kapalı.","bilgi mevcut değildir."
"ua","Інтернет цензура.","сайт закритий.","Інформація не доступна."
"uz","internet censorship.","website closed.","information not available."
